tipo_cultivo,ubicacion,tamanio,rdto,uso_fertilizantes
Semierecta.,1426,21041,0.0798,True
Rastrera.,1644,51102,0.0729,True
Erecta.,1504,37113,0.795,False
Rastrera.,1986,74356,0.7209,False
Erecta.,1700,30265,0.4884,False
Semierecta.,1800,13246,0.4545,True
Semierecta.,1368,42351,0.5291,True
Rastrera.,1082,21530,0.2275,False
Erecta.,1240,31090,0.7266,False
Erecta.,1427,96360,0.4219,False
Erecta.,1810,44648,0.5005,True
Semierecta.,1286,59930,0.2329,True
Semierecta.,1032,15907,0.2259,False
Rastrera.,1920,60252,0.0341,False
Erecta.,1182,43384,0.1736,True
Rastrera.,1634,77414,0.2168,True
Semierecta.,1569,88015,0.5834,True
Rastrera.,1318,89600,0.5203,False
Semierecta.,1533,28492,0.3602,True
Semierecta.,1114,9363,0.8886,False
Erecta.,1465,18434,0.8406,True
Erecta.,1651,67599,0.0209,True
Erecta.,1970,36227,0.069,False
Erecta.,1478,71987,0.203,False
Semierecta.,1746,60590,0.9208,True
Semierecta.,1787,73124,0.7539,False
Rastrera.,1300,307,0.6634,True
Rastrera.,1242,6465,0.8257,True
Rastrera.,1854,78407,0.3231,False
Rastrera.,1359,93792,0.0833,True
Rastrera.,1159,88987,0.1192,False
Rastrera.,1272,30090,0.3286,True
Rastrera.,1503,94357,0.1237,True
Rastrera.,1324,14818,0.9108,True
Erecta.,1461,62641,0.0736,False
Rastrera.,1272,36427,0.8736,True
Erecta.,1684,18768,0.0569,False
Erecta.,1567,87521,0.9226,False
Semierecta.,1901,87894,0.3652,True
Rastrera.,1351,26195,0.9124,True
Erecta.,1252,22656,0.1414,True
Erecta.,1610,48187,0.0696,True
Rastrera.,1285,21781,0.1479,False
Rastrera.,1427,62394,0.6601,False
Semierecta.,1233,98236,0.4056,False
Semierecta.,1931,27053,0.98,False
Rastrera.,1153,96108,0.9577,True
Erecta.,1215,73934,0.7656,False
Rastrera.,1399,11401,0.5319,True
Rastrera.,1687,12124,0.0021,False
Erecta.,1146,59256,0.3407,True
Semierecta.,1755,49977,0.0913,True
Erecta.,1886,66882,0.4025,True
Rastrera.,1430,56798,0.352,False
Erecta.,1614,1475,0.2435,True
Rastrera.,1296,62916,0.4826,False
Rastrera.,1905,26535,0.1304,True
Erecta.,1591,56886,0.7114,False
Rastrera.,1097,91689,0.1511,True
Rastrera.,1732,14046,0.4552,True
Semierecta.,1284,72315,0.0066,True
Semierecta.,1230,565,0.4451,True
Erecta.,1672,73885,0.4778,False
Semierecta.,1536,92877,0.5178,False
Rastrera.,1259,67530,0.2893,True
Semierecta.,1176,53030,0.0883,True
Semierecta.,1166,12105,0.1391,False
Rastrera.,1992,57554,0.3576,True
Semierecta.,1298,58275,0.0819,True
Erecta.,1494,55411,0.8327,True
Rastrera.,1672,427,0.068,True
Erecta.,1218,34305,0.3459,False
Erecta.,1474,55646,0.4292,False
Rastrera.,1751,10119,0.9121,True
Semierecta.,1160,11849,0.5459,False
Rastrera.,1087,4119,0.9714,False
Erecta.,1013,78207,0.0127,False
Semierecta.,1855,68889,0.0959,True
Semierecta.,1742,12965,0.4581,False
Erecta.,1176,58170,0.9931,True
Rastrera.,1765,14685,0.7365,True
Semierecta.,1952,22809,0.334,True
Semierecta.,1399,43439,0.9545,True
Rastrera.,1695,31298,0.7998,True
Erecta.,1430,13049,0.5273,True
Rastrera.,1508,96184,0.8091,False
Rastrera.,1220,55747,0.5192,False
Semierecta.,1606,73839,0.2877,False
Semierecta.,1170,26230,0.1558,False
Semierecta.,1021,11639,0.7836,True
Erecta.,1657,91610,0.8474,False
Rastrera.,1935,52454,0.4285,True
Rastrera.,1771,31427,0.2695,False
Semierecta.,1321,92544,0.1961,True
Semierecta.,1842,16157,0.7597,True
Erecta.,1989,20993,0.3769,False
Semierecta.,1334,73058,0.5828,False
Semierecta.,1876,65090,0.2246,True
Rastrera.,1762,98251,0.3033,True
Erecta.,1337,98363,0.303,False
Rastrera.,1135,96454,0.0268,False
Erecta.,1038,47252,0.9759,True
Erecta.,1769,63651,0.0949,False
Rastrera.,1547,94348,0.2162,True
Rastrera.,1753,54513,0.6703,False
Erecta.,1756,13263,0.6403,True
Rastrera.,1879,51413,0.6263,True
Semierecta.,1099,9284,0.3395,True
Erecta.,1682,77331,0.115,True
Rastrera.,1344,95191,0.1235,False
Erecta.,1515,13091,0.5238,False
Rastrera.,1443,37357,0.4031,True
Semierecta.,1179,11269,0.5553,False
Rastrera.,1583,52020,0.581,False
Rastrera.,1721,48907,0.2798,True
Erecta.,1895,87621,0.5714,False
Rastrera.,1706,91986,0.2378,False
Erecta.,1669,17152,0.3374,True
Rastrera.,1995,84306,0.8386,True
Erecta.,1541,67844,0.0564,False
Erecta.,1915,93905,0.7902,True
Semierecta.,1427,82830,0.2035,True
Erecta.,1481,14356,0.3638,False
Erecta.,1650,9161,0.6905,False
Erecta.,1847,99888,0.8619,False
Rastrera.,1608,9856,0.3415,True
Semierecta.,1190,89530,0.5267,False
Erecta.,1580,51904,0.615,False
Semierecta.,1669,87001,0.4749,True
Rastrera.,1310,73115,0.1475,True
Rastrera.,1903,76568,0.6098,False
Rastrera.,1808,70571,0.4357,True
Rastrera.,1156,64915,0.9835,True
Semierecta.,1927,64948,0.6172,True
Rastrera.,1795,60024,0.7795,True
Erecta.,1961,60918,0.3198,False
Rastrera.,1131,87683,0.6269,False
Erecta.,1996,68907,0.5367,True
Rastrera.,1191,6614,0.1592,True
Semierecta.,1154,1619,0.467,False
Semierecta.,1261,60221,0.1453,False
Rastrera.,1323,93981,0.4358,False
Semierecta.,1309,60906,0.462,False
Erecta.,1933,60069,0.6797,False
Semierecta.,1576,83412,0.8789,False
Erecta.,1215,8274,0.4833,True
Semierecta.,1997,2461,0.288,False
Rastrera.,1576,65338,0.5961,True
Rastrera.,1481,95452,0.0997,False
Rastrera.,1675,28579,0.1958,True
Semierecta.,1203,60245,0.6764,True
Rastrera.,1149,92848,0.5749,True
Erecta.,1021,25754,0.4905,True
Semierecta.,1346,67003,0.8932,False
Semierecta.,1878,60747,0.2855,False
Semierecta.,1619,80399,0.9982,True
Semierecta.,1719,54469,0.7193,False
Semierecta.,1719,34350,0.489,False
Rastrera.,1969,12028,0.5132,False
Rastrera.,1908,37435,0.4934,True
Semierecta.,1139,55811,0.2636,False
Erecta.,1819,2439,0.7286,False
Semierecta.,1667,71782,0.8853,False
Semierecta.,1104,90187,0.9522,False
Semierecta.,1379,50886,0.1196,False
Erecta.,1998,12338,0.5496,False
Erecta.,1385,43912,0.9267,False
Semierecta.,1947,16435,0.259,False
Rastrera.,1413,39822,0.9542,False
Semierecta.,1814,23278,0.6048,True
Rastrera.,1299,80351,0.4093,True
Erecta.,1222,68534,0.8204,True
Semierecta.,1538,54130,0.855,False
Rastrera.,1652,84043,0.0222,False
Rastrera.,1534,35068,0.3521,True
Erecta.,1424,9329,0.7731,True
Erecta.,1348,72485,0.341,False
Rastrera.,1703,66809,0.874,False
Erecta.,1627,74263,0.4262,False
Rastrera.,1118,86079,0.3018,True
Erecta.,1867,2917,0.4562,False
Semierecta.,1549,91117,0.471,False
Rastrera.,1934,69167,0.2803,False
Rastrera.,1686,52312,0.815,False
Semierecta.,1881,44127,0.8215,True
Semierecta.,1618,81550,0.5523,False
Erecta.,1192,45056,0.8978,True
Semierecta.,1568,61086,0.3697,True
Semierecta.,1939,95792,0.6145,False
Semierecta.,1867,91488,0.0216,False
Erecta.,1722,34737,0.8308,True
Erecta.,1013,30461,0.3655,False
Rastrera.,1896,65558,0.197,True
Erecta.,1877,92848,0.4566,False
Rastrera.,1159,83985,0.3696,False
Rastrera.,1124,1193,0.2974,True
Erecta.,1677,75481,0.2739,False
Erecta.,1913,94216,0.7146,False
Semierecta.,1118,51986,0.2415,False
Erecta.,1483,29920,0.3642,True
Erecta.,1560,89934,0.5189,False
Semierecta.,1431,20427,0.908,True
Rastrera.,1097,41465,0.3135,False
Erecta.,1379,24781,0.529,False
Erecta.,1172,37867,0.1737,False
Erecta.,1577,79632,0.2225,False
Rastrera.,1391,42837,0.2274,False
Erecta.,1890,19703,0.2967,False
Semierecta.,1204,37931,0.7988,False
Rastrera.,1943,32532,0.4285,False
Semierecta.,1203,97969,0.1805,True
Erecta.,1159,63166,0.5153,False
Erecta.,1498,37723,0.9371,True
Rastrera.,1537,77070,0.071,False
Erecta.,1133,47589,0.8443,False
Rastrera.,1626,3748,0.6427,False
Erecta.,1639,10376,0.9228,False
Rastrera.,1738,6238,0.5639,True
Erecta.,1047,23472,0.5867,True
Rastrera.,1603,87189,0.9379,False
Erecta.,1336,67622,0.9335,True
Rastrera.,1105,68962,0.0763,True
Erecta.,1017,39468,0.1343,True
Rastrera.,1625,43480,0.9039,False
Erecta.,1873,88482,0.681,True
Rastrera.,1813,19806,0.5537,True
Rastrera.,1645,60314,0.3415,True
Rastrera.,1016,43884,0.5178,True
Rastrera.,1557,51236,0.0937,False
Semierecta.,1586,72734,0.9232,False
Semierecta.,1518,93516,0.8959,False
Semierecta.,1855,78554,0.994,False
Rastrera.,1114,18059,0.7881,False
Rastrera.,1807,18437,0.1931,True
Erecta.,1905,27220,0.6435,False
Erecta.,1132,94408,0.2053,True
Erecta.,1726,67096,0.6065,True
Erecta.,1968,28081,0.9264,False
Rastrera.,1476,39886,0.9473,True
Rastrera.,1597,10919,0.2449,False
Rastrera.,1567,31562,0.142,False
Semierecta.,1629,82794,0.1455,False
Rastrera.,1191,7689,0.5821,True
Rastrera.,1688,55561,0.3763,False
Rastrera.,1622,63485,0.4039,False
Semierecta.,1151,84036,0.9257,False
Rastrera.,1374,88742,0.4269,False
Rastrera.,1928,81711,0.1443,False
Erecta.,1749,74561,0.8879,True
Erecta.,1683,83952,0.6267,True
Rastrera.,1227,14549,0.1113,True
Rastrera.,1942,1321,0.2784,False
Rastrera.,1347,60541,0.8307,False
Rastrera.,1994,22969,0.1333,True
Erecta.,1679,14594,0.933,False
Semierecta.,1304,89322,0.9002,False
Semierecta.,1695,65235,0.5265,False
Erecta.,1313,4562,0.4902,False
Semierecta.,1522,41121,0.5845,False
Semierecta.,1279,75958,0.7376,True
Rastrera.,1888,21204,0.0702,True
Erecta.,1814,6107,0.7646,True
Erecta.,1661,60162,0.3585,False
Erecta.,1892,92437,0.0095,True
Rastrera.,1241,42599,0.9195,False
Erecta.,1224,10627,0.8951,True
Rastrera.,1820,28341,0.9999,True
Semierecta.,1010,75876,0.649,False
Erecta.,1537,77583,0.6188,False
Rastrera.,1611,38553,0.8507,False
Erecta.,1892,2677,0.2947,True
Erecta.,1211,20380,0.7207,True
Semierecta.,1575,18667,0.5471,True
Semierecta.,1466,62013,0.2441,False
Erecta.,1463,19314,0.4097,False
Erecta.,1192,36525,0.7032,False
Rastrera.,1644,409,0.9128,True
Semierecta.,1483,26739,0.3991,False
Rastrera.,1714,48355,0.831,False
Erecta.,1448,38999,0.9485,False
Semierecta.,1052,59679,0.8367,True
Semierecta.,1876,49395,0.0503,True
Semierecta.,1018,50488,0.7512,True
Rastrera.,1508,68209,0.5309,True
Erecta.,1001,55416,0.7707,False
Erecta.,1425,32110,0.5283,True
Erecta.,1229,78771,0.5025,False
Erecta.,1922,29194,0.8995,False
Erecta.,1467,88232,0.9398,False
Rastrera.,1157,24333,0.2156,False
Erecta.,1674,11129,0.566,True
Rastrera.,1907,23918,0.406,True
Rastrera.,1677,25098,0.5821,True
Erecta.,1705,30951,0.4059,True
Rastrera.,1197,37620,0.7315,False
Rastrera.,1592,30301,0.3422,False
Semierecta.,1485,71097,0.2706,True
Rastrera.,1499,74295,0.3057,True
Rastrera.,1088,66473,0.2687,True
Semierecta.,1715,24103,0.6521,False
Erecta.,1153,17116,0.1589,True
Semierecta.,1321,71915,0.5401,True
Rastrera.,1040,38661,0.7468,False
Erecta.,1425,83988,0.6395,True
Erecta.,1822,95508,0.7705,False
Erecta.,1868,65314,0.7203,False
Rastrera.,1245,44147,0.1298,True
Semierecta.,1646,37389,0.7493,True
Erecta.,1794,96936,0.4242,True
Rastrera.,1935,49416,0.5451,True
Erecta.,1862,54767,0.7658,True
Erecta.,1662,17955,0.4387,False
Semierecta.,1584,17787,0.5014,True
Semierecta.,1811,80222,0.047,True
Erecta.,1563,90585,0.0153,False
Semierecta.,1217,82921,0.5311,False
Semierecta.,1734,88799,0.748,False
Erecta.,1361,54528,0.9619,True
Erecta.,2000,302,0.0607,False
Erecta.,1158,6555,0.3931,False
Semierecta.,1138,19827,0.3843,False
Rastrera.,1434,56456,0.4235,False
Rastrera.,1195,30016,0.9979,True
Rastrera.,1293,42795,0.3345,True
Erecta.,1069,485,0.3954,True
Rastrera.,1612,60362,0.9336,True
Rastrera.,1826,8002,0.1566,False
Erecta.,1137,28297,0.783,True
Semierecta.,1169,46212,0.5607,True
Erecta.,1713,76590,0.0395,False
Erecta.,1798,27924,0.0542,True
Erecta.,1891,6303,0.0552,True
Rastrera.,1888,83772,0.8068,True
Rastrera.,1404,85075,0.8932,True
Rastrera.,1360,40315,0.3102,False
Rastrera.,1313,5558,0.1751,True
Rastrera.,1557,3203,0.6663,False
Semierecta.,1839,95616,0.3245,False
Erecta.,1823,2358,0.2654,True
Rastrera.,1030,82440,0.7821,False
Semierecta.,1554,55184,0.1923,False
Semierecta.,1669,64603,0.7021,True
Erecta.,1635,88618,0.7377,False
Rastrera.,1917,39691,0.5803,False
Erecta.,1714,40541,0.281,False
Erecta.,1215,96292,0.125,False
Semierecta.,1527,65085,0.3387,False
Semierecta.,1701,64520,0.4137,False
Erecta.,1046,4019,0.9176,False
Erecta.,1277,89880,0.9911,True
Erecta.,1757,3842,0.9307,True
Semierecta.,1054,29656,0.3236,False
Semierecta.,1805,91730,0.7368,True
Rastrera.,1326,25595,0.1257,False
Erecta.,1707,98186,0.9481,False
Erecta.,1894,94455,0.8859,True
Rastrera.,1129,85878,0.9181,True
Erecta.,1970,33908,0.8718,True
Rastrera.,1083,88601,0.7397,False
Erecta.,1101,96553,0.4582,True
Rastrera.,1804,89909,0.2173,False
Erecta.,1750,35915,0.1383,True
Semierecta.,1337,87634,0.2025,False
Erecta.,1178,8491,0.5769,True
Rastrera.,1506,41764,0.2247,False
Semierecta.,1732,3248,0.5827,False
Erecta.,1515,42919,0.4992,False
Semierecta.,1941,54155,0.6465,False
Erecta.,1496,87170,0.8474,False
Rastrera.,1100,38918,0.1871,True
Rastrera.,1749,97652,0.9408,True
Erecta.,1481,55185,0.9851,False
Rastrera.,1382,64006,0.6731,False
Semierecta.,1384,34280,0.9004,False
Rastrera.,1514,76880,0.5904,False
Rastrera.,1879,50634,0.6195,False
Semierecta.,1217,76562,0.3377,True
Erecta.,1783,82712,0.2321,False
Semierecta.,1196,93142,0.0103,True
Rastrera.,1121,64949,0.1213,True
Rastrera.,1524,75546,0.5344,True
Semierecta.,1229,27180,0.7117,True
Rastrera.,1158,46023,0.0715,True
Semierecta.,1295,1249,0.9332,True
Rastrera.,1342,94391,0.3668,True
Rastrera.,1523,66241,0.7748,True
Semierecta.,1220,35337,0.0818,False
Rastrera.,1929,28766,0.4252,False
Semierecta.,1324,80048,0.1272,True
Rastrera.,1369,95741,0.1506,False
Erecta.,1486,82959,0.5239,False
Erecta.,1505,87672,0.2787,True
Semierecta.,1668,39312,0.3319,True
Erecta.,1963,35646,0.8091,True
Erecta.,1878,66895,0.7171,False
Semierecta.,1270,31055,0.5631,False
Semierecta.,1779,27973,0.1411,False
Semierecta.,1089,31883,0.8381,True
Erecta.,1918,31546,0.1474,True
Semierecta.,1545,8464,0.6232,True
Erecta.,1998,99981,0.3625,False
Semierecta.,1372,32835,0.8283,False
Semierecta.,1685,77952,0.014,True
Semierecta.,1895,72348,0.824,True
Rastrera.,1572,66623,0.2785,False
Semierecta.,1087,50960,0.9815,False
Erecta.,1187,66220,0.8261,False
Rastrera.,1076,21247,0.5941,False
Rastrera.,1813,1559,0.2338,False
Semierecta.,1992,69138,0.8393,True
Rastrera.,1701,67393,0.5733,True
Erecta.,1762,77876,0.5284,False
Erecta.,1352,75198,0.1908,False
Erecta.,1531,9237,0.9413,False
Erecta.,1411,77938,0.5461,True
Semierecta.,1916,77305,0.2571,True
Semierecta.,1474,74823,0.8246,False
Rastrera.,1176,99597,0.7265,False
Erecta.,1203,76331,0.7017,True
Semierecta.,1328,6157,0.4033,True
Rastrera.,1140,50242,0.3748,True
Rastrera.,1588,93743,0.3297,False
Semierecta.,1284,56012,0.4844,False
Semierecta.,1703,56595,0.0604,True
Rastrera.,1630,97050,0.6473,False
Erecta.,1217,49718,0.427,False
Erecta.,1331,10476,0.3844,False
Semierecta.,1696,36232,0.1433,True
Erecta.,1006,71555,0.8756,False
Rastrera.,1978,10781,0.6101,False
Rastrera.,1780,30820,0.3869,True
Rastrera.,1243,23475,0.8988,False
Semierecta.,1976,69301,0.8891,False
Semierecta.,1986,61671,0.6208,True
Erecta.,1838,807,0.3732,False
Semierecta.,1858,86965,0.7362,False
Erecta.,1653,88633,0.1894,False
Rastrera.,1266,62822,0.6585,False
Rastrera.,1312,46609,0.2435,True
Erecta.,1919,56227,0.1496,False
Erecta.,1448,98302,0.36,False
Rastrera.,1478,95779,0.7109,False
Rastrera.,1597,13044,0.1527,False
Erecta.,1106,40233,0.1932,True
Semierecta.,1451,92624,0.9727,True
Rastrera.,1608,56603,0.8089,True
Semierecta.,1888,14909,0.8433,True
Erecta.,1198,15784,0.3883,False
Rastrera.,1067,46441,0.1874,False
Rastrera.,1646,13462,0.3233,True
Rastrera.,1380,21661,0.8286,True
Rastrera.,1311,90898,0.3153,True
Semierecta.,1305,92230,0.6316,True
Rastrera.,1814,18937,0.2053,True
Rastrera.,1386,13996,0.5215,False
Semierecta.,1044,66388,0.3316,True
Semierecta.,1159,14942,0.0366,False
Erecta.,1541,48392,0.7079,True
Rastrera.,1263,92202,0.7479,True
Rastrera.,1259,74364,0.7827,True
Semierecta.,1888,99915,0.8943,False
Erecta.,1757,61841,0.5639,False
Rastrera.,1143,88883,0.1735,True
Erecta.,1828,1324,0.4586,False
Rastrera.,1172,50121,0.1186,True
Erecta.,1598,84848,0.9458,False
Erecta.,1299,91263,0.2001,False
Rastrera.,1691,44386,0.2286,True
Semierecta.,1150,32877,0.4187,False
Rastrera.,1699,14693,0.0818,False
Rastrera.,1323,65118,0.2197,True
Semierecta.,1823,10609,0.091,False
Semierecta.,1892,12623,0.7304,True
Erecta.,1296,44633,0.8123,False
Rastrera.,1675,27893,0.641,True
Rastrera.,1747,86087,0.0714,False
Rastrera.,1744,10700,0.809,True
Rastrera.,1543,4991,0.5349,True
Rastrera.,1359,61040,0.6735,False
Rastrera.,1366,48741,0.9464,False
Erecta.,1251,84595,0.8637,False
Erecta.,1255,99415,0.0112,False
Semierecta.,1917,93158,0.027,True
Rastrera.,1003,58471,0.0856,False
Erecta.,1259,655,0.0368,False
Erecta.,1731,63637,0.9085,False
Semierecta.,1158,96847,0.8554,False
Rastrera.,1377,58881,0.9161,False
Erecta.,1678,55133,0.4151,False
Semierecta.,1677,99560,0.766,True
Erecta.,1334,48011,0.9526,True
Semierecta.,1297,65995,0.5394,False
Erecta.,1018,76558,0.4974,True
Erecta.,1053,80801,0.398,True
Rastrera.,1796,60527,0.7326,True
Semierecta.,1380,57042,0.9198,True
Semierecta.,1792,89606,0.4141,False
Rastrera.,1270,85746,0.6419,False
Semierecta.,1981,99413,0.599,False
Erecta.,1538,18824,0.7416,False
Rastrera.,1856,39119,0.6298,True
Erecta.,1432,38316,0.6025,False
Erecta.,1409,72001,0.5716,True
Semierecta.,1963,62745,0.7179,False
Erecta.,1486,11220,0.9143,True
Erecta.,1379,87995,0.3769,True
Semierecta.,1336,76250,0.3276,False
Erecta.,1690,56016,0.2123,False
Erecta.,1581,66580,0.6658,False
Rastrera.,1434,90345,0.3111,False
Rastrera.,1720,76356,0.2755,False
Rastrera.,1870,55838,0.446,False
Semierecta.,1965,10553,0.3908,False
Erecta.,1719,87153,0.9128,False
Semierecta.,1401,49372,0.3093,False
Rastrera.,1932,48743,0.5426,False
Erecta.,1669,78363,0.1117,False
Semierecta.,1733,92713,0.0181,False
Rastrera.,1029,86056,0.4847,False
Semierecta.,1174,75198,0.7583,True
Erecta.,1690,55790,0.6787,False
Rastrera.,1477,31212,0.8994,True
Erecta.,1939,70191,0.407,True
Semierecta.,1319,95112,0.2056,False
Erecta.,1790,9905,0.1186,True
Semierecta.,1219,93333,0.7965,False
Rastrera.,1900,78506,0.5886,False
Erecta.,1955,79743,0.4846,False
Semierecta.,1419,12230,0.5892,True
Rastrera.,1351,5707,0.7017,True
Semierecta.,1392,7874,0.8311,True
Erecta.,1211,9003,0.7549,True
Semierecta.,1060,98871,0.5716,False
Erecta.,1852,17011,0.9345,False
Semierecta.,1482,11987,0.3616,False
Rastrera.,1882,76209,0.2822,True
Rastrera.,1767,7811,0.6925,True
Semierecta.,1060,55012,0.3243,True
Rastrera.,1759,8970,0.0407,True
Semierecta.,1286,30477,0.797,False
Rastrera.,1822,53743,0.605,True
Semierecta.,1612,5196,0.7783,False
Semierecta.,1739,71802,0.4681,True
Rastrera.,1998,15901,0.4216,True
Erecta.,1994,55987,0.5553,True
Erecta.,1131,69790,0.3944,True
Erecta.,1426,32044,0.0173,True
Erecta.,1548,32985,0.3113,False
Erecta.,1152,49895,0.6536,True
Rastrera.,1612,96227,0.4759,False
Rastrera.,1146,23257,0.1403,False
Semierecta.,1345,90542,0.0122,False
Rastrera.,1376,8070,0.2406,True
Rastrera.,1821,63745,0.8469,False
Rastrera.,1550,64595,0.6275,True
Rastrera.,1381,8160,0.4464,False
Erecta.,1810,45100,0.5877,False
Erecta.,1852,80927,0.9671,True
Erecta.,1184,24139,0.7814,False
Semierecta.,1853,45530,0.8537,False
Erecta.,1496,64314,0.4061,True
Erecta.,1609,63079,0.415,True
Rastrera.,1224,68273,0.5088,True
Rastrera.,1703,55245,0.2464,True
Rastrera.,1882,90398,0.3803,False
Rastrera.,1381,17646,0.1052,True
Erecta.,1625,76437,0.3602,True
Semierecta.,1316,81906,0.8408,True
Rastrera.,1819,63145,0.6456,False
Erecta.,1889,99573,0.7531,False
Erecta.,1854,8931,0.8615,False
Semierecta.,1990,78647,0.1167,False
Rastrera.,1059,34370,0.0462,False
Erecta.,1833,13123,0.1168,True
Rastrera.,1805,94575,0.8072,False
Rastrera.,1953,1940,0.3504,False
Semierecta.,1930,63571,0.9761,True
Erecta.,1597,23349,0.9668,True
Erecta.,1501,83264,0.4499,True
Semierecta.,1866,31360,0.9439,False
Rastrera.,1765,68861,0.4839,False
Rastrera.,1968,74005,0.8081,True
Rastrera.,1099,46085,0.7692,True
Erecta.,1116,55865,0.6953,True
Erecta.,1175,29358,0.3422,True
Erecta.,1141,45911,0.1881,True
Erecta.,1609,29527,0.5968,False
Erecta.,1558,44891,0.7397,False
Semierecta.,1067,90396,0.8607,False
Semierecta.,1969,82133,0.6921,False
Rastrera.,1638,42672,0.0378,False
Rastrera.,1085,8931,0.8204,False
Rastrera.,1650,85654,0.0285,False
Erecta.,1750,17587,0.0729,True
Erecta.,1419,37568,0.7235,True
Rastrera.,1127,75566,0.4483,False
Rastrera.,1298,97280,0.8424,False
Erecta.,1827,76672,0.3396,False
Semierecta.,1835,83409,0.7054,True
Semierecta.,1105,9958,0.6283,False
Erecta.,1500,74524,0.0434,False
Erecta.,1024,4009,0.0956,False
Erecta.,1120,88652,0.1395,True
Erecta.,1262,10688,0.6077,False
Semierecta.,1765,96695,0.4409,True
Erecta.,1031,75519,0.4314,False
Semierecta.,1480,5066,0.9678,True
Erecta.,1212,64823,0.9406,False
Semierecta.,1607,46511,0.773,True
Erecta.,1860,4085,0.6679,True
Semierecta.,1363,24848,0.3101,True
Rastrera.,1809,64540,0.7584,False
Semierecta.,1613,58508,0.2853,False
Rastrera.,1942,24711,0.6931,True
Rastrera.,1358,27674,0.4515,False
Erecta.,1320,60922,0.1692,False
Semierecta.,1902,57536,0.2227,True
Erecta.,1669,90540,0.333,True
Rastrera.,1431,11937,0.0508,False
Semierecta.,1764,73599,0.937,False
Erecta.,1024,6354,0.9437,True
Rastrera.,1941,14684,0.9264,False
Semierecta.,1597,56908,0.6561,False
Semierecta.,1005,79331,0.5808,False
Rastrera.,1649,47310,0.6639,True
Erecta.,1221,48608,0.6185,False
Semierecta.,1726,48683,0.1789,False
Erecta.,1348,18358,0.7981,False
Rastrera.,1649,42765,0.5239,True
Semierecta.,1416,3631,0.2576,True
Erecta.,1522,17045,0.1626,False
Rastrera.,1719,11017,0.5058,False
